474763392322629632,5,472530901125820416,ttjo1880,148.12
474763395262836736,8,469275989898162176,kommandernchief,147.98
475125958601338882,5,393844458132656128,cudde2,147.86
475095761487392768,11,394637501618216960,COLONELofcorn,147.82
474763412035858432,8,340575217908776960,mquinny8,147.72
475095765937549313,7,335238468365983744,cushballs,147.64
475125962082611201,7,335484395186036736,Boss_Hogg,147.46
474763392049999872,4,472637462401773568,Ismael0323,147.30
474763419187146752,5,300371517269635072,rusty76,147.28
475095761076350976,11,412261675027148800,BearsBeats,147.10
475095752985538561,5,467846158497083392,MFJonsie,146.86
475125947729702912,9,469231806953025536,rbtone2981,146.86
474763393153101824,11,471975417675247616,DanielKobak,146.80
475095752087957504,6,468897561839661056,Iam_bdot,146.76
475125945204731906,2,472412389141114880,NateYeeterman,146.54
474763391496351744,7,473921407210745856,LazarusRises,146.50
474763393643835392,11,471011629933260800,Fisterf15d,146.32
475125955837292544,8,445994076160913408,aherscher,146.30
474763412501426176,2,339185893925482496,thegrouch,146.02
474763409317949440,2,376238607532421120,MisterT800,146.00
474763394415587328,12,469942680286130176,aimart421,145.96
474763405039759360,6,445949783962546176,CLE05Fan,145.82
475125962409766912,2,335118468204482560,gbaker17,145.80
474733207296667648,2,338940734549798912,sawanp8,145.76
475095771167846400,12,79026729687334912,Yakeanbake,145.74
475125933238382594,1,475077044145745920,k_culbert,145.52
474763406285467650,3,432359095899529216,SuperDupes,145.30
474733195158351872,8,468187072369258496,cattnap,145.26
475095754310938626,3,467205440673935360,GunslingerO7,145.24
475095768659652608,5,244939129828143104,ajkfly40,144.66
474763425050783744,10,76518008826511360,swaters603,144.58
474763394218455040,12,470294326836981760,daveNotYetActuary,144.52
474733208575930368,1,332097013510320128,Molekowski,144.16
475095760891801600,3,416431819446038528,cetter,143.86
474763420017618944,3,210470229208211456,stonedeagle,143.78
475125961617043456,12,338510639947345920,JBLeto,143.44
475095764519874560,6,340172827158134784,TheGambler,143.06
474733209041498112,1,327568006534156288,mbharp0618,143.00
474733194298519552,2,468899108896108544,Brianpkelly88,142.76
475095767195840513,11,323299016819363840,Clouse2144,142.76
475095772317085697,6,76436661843935232,Charmander,142.64
475095770651947008,9,86525171758153728,laidtorest195,142.30
475095766596055040,12,327711213091844096,kingjames92,142.16
474763398312095744,3,467779607060279296,sschoiber,142.16
474733205950296064,5,344197909702545408,Atamisc,142.06
475125965031206912,10,227822626662260736,JoeMemmoloJr,141.86
474733190125187072,6,472941779537096704,Holdout12,141.82
474733206478778368,6,341789134601469952,jhelm1113,141.76
474763392318435328,2,472327020865384448,LogicaOctopus,141.66
475095770354151425,7,96787316529840128,mikedaddybignuts,141.46
474733216096317440,7,77280501580578816,apcslater,141.46
474763396554682368,9,468904903805235200,Blastphome,141.42
475125964297203713,8,301904600120713216,ouibeau,141.36
474733192985702400,4,469329317076135936,jenkfoot2,141.04
475125967027695616,4,193093773280940032,wdleigh41,141.02
474763409708019712,7,356878801843851264,Pats978,140.56
474733210920546304,5,300544259881193472,goodfellajk,140.48
474763399943680001,3,467106838890934272,btxpsports,140.42
475095772233199616,8,76455089212375040,BatLoaf,140.38
475095756127072256,5,459922636424605696,bears41392,140.24
475125964221706240,8,304760104731815936,HarshButFair,139.98
474733193715511296,2,469184845034024960,LittyChar,139.90
474733201026183168,4,451875963911794688,m4ttm0,139.86
474763381610377221,10,474445712935874560,Layedoutb2k,139.56
474763417660420097,2,325039494585651200,Yi97,139.54
474763396101697536,5,468935738579218432,Cbswim22,139.52
475095753161699328,5,467795820456964096,drumlife22,139.46
474733196349534208,5,467524115574550528,CaptainCaveman29,139.46
474763389625692160,11,474335493652213760,DevilishBallr,139.30
474763409708019712,10,355430054727196672,lcornils,139.28
474763393153101826,12,471857795734433792,Kekambas19,138.98
474733197121286145,6,467206875947986944,kwondrus,138.64
474763404108623872,2,453939620149719040,CameronPRod4,138.54
474763419619160065,8,217753666948427776,Stevepac9,138.34
475125959226290176,6,365287793225883648,tald64,138.34
475125970043400192,1,74585487842885632,sl0841,138.30
475125959100461057,6,377180507651342336,ColbyLawson,138.28
474763397863305216,6,468119414575722496,Crouter1,138.06
474733215676887040,6,78626258346721280,RunningAllOver,138.06
474763418755133440,11,301412713324617728,pandamanldn,137.70
475095731313569792,8,475066704649515008,Burnttoast007,137.34
475095772233199616,10,76451313512497152,SciFiDisco,137.06
474733215299399681,1,337487736938184704,dunzo,137.04
475125963206684674,4,329762049737392128,Strykertodd,136.98
474763392322629632,12,472418031046225920,Ndonald_114,136.86
475125954549641216,1,458556532510945280,bdub02,136.78
475095765241294848,11,336975408115220480,tdeter62,136.56
